,clean_course_title
0,ISC Systems Security Certified Practitioner SSCP
1,Crash Course Causality Inferring Causal Effects Observational Data
2,Crash Course Data Science
3,Law Students Toolkit
4,Life Happiness Fulfillment
5,ADHD Everyday Strategies Elementary Students
6,AI
7,AI Medical Treatment
8,AI Foundations
9,AI Medical Diagnosis
10,AI Medical Prognosis
11,AI Medicine
12,AWS Fundamentals
13,AWS Fundamentals Addressing Security Risk
14,AWS Fundamentals Building Serverless Applications
15,AWS Fundamentals Going CloudNative
16,AWS Fundamentals Migrating Cloud
17,Aboriginal Worldviews Education
18,Academic English Writing
19,Accelerated Computer Science Fundamentals
20,Access Controls
21,Accounting Analytics
22,Accounting Decision Making
23,Achieving Personal Professional Success
24,Actualizacin en el manejo del paciente con diabetes mellitus tipo 2
25,Addiction Treatment Clinical Skills Healthcare Providers
26,Advanced Business Analytics
27,Advanced Data Science IBM
28,Advanced Machine Learning
29,Advanced Machine Learning TensorFlow Google Cloud Platform
30,Advanced Valuation Strategy  MA Private Equity Venture Capital
31,Advertising Society
32,Age Cathedrals
33,Agile Development
34,Agile Meets Design Thinking
35,Agile Atlassian Jira
36,Agile  Scrum      
37,Algorithmic Toolbox
38,Algorithms
39,Algorithms Battery Management Systems
40,American Contract Law
41,Introduction American Law
42,Introduction Consumer Neuroscience  Neuromarketing
43,Introduction Programming Internet Things IOT
44,Analysing Numeric digital literacies
45,Anatomy
46,Anatomy Chest Abdomen Pelvis
47,Anatomy Musculoskeletal Integumentary Systems
48,Ancient Philosophy Aristotle Successors
49,Android App Development
50,Animal Behaviour Welfare
51,Antibiotic Stewardship
52,Anticorrupcin Introduccin conceptos perspectiva prctica
53,Antimicrobial resistance  theory methods
54,Applied Data Science
55,Applied Data Science Capstone
56,Applied Data Science Python
57,Applied Machine Learning Python
58,Applied Plotting Charting  Data Representation Python
59,Aprende programar con Python
60,Aprender
61,Aprendiendo aprender Poderosas herramientas mentales con las que podrs dominar temas difciles Learning Learn
62,Architecting Google Cloud Platform 
63,Architecting Google Compute Engine
64,Architecting Google Kubernetes Engine 
65,Arizona State University TESOL
66,Art  Activity Interactive Strategies Engaging Art
67,Art  Ideas Teaching Themes
68,Arts Culture Strategy
69,Arts Heritage Management
70,Aspectos bsicos de la planificacin la gestin de proyectos
71,Astrobiology Search Extraterrestrial Life
72,Atencin Primaria en Salud El desafo de las Enfermedades Transmisibles
73,Autism Spectrum Disorder
74,Autodesk CADCAM Manufacturing
75,Autodesk CADCAMCAE Mechanical Engineering
76,Autodesk Certified Professional AutoCAD Design Drafting Exam Prep
77,Autodesk Certified Professional Revit Architectural Design Exam Prep
78,BIM Fundamentals Engineers
79,Basic Statistics
80,Bayesian Statistics Concept Data Analysis
81,Bayesian Statistics Techniques Models
82,CBRS Certified Professional Installer Google
83,Journalist Report News
84,Sustainable Business Change Agent
85,Sports Agent
86,changemaker Introduction Social Innovation
87,Behavioral Finance
88,Sustainable Development Goals SDGs Addressing Sustainability Development
89,Big Data  Introduccin al uso prctico de datos masivos
90,Biohacking Brains Health
91,Biology Meets Programming Bioinformatics Beginners
92,Biostatistics Public Health
93,Blended Language Learning Design Practice Teachers
94,Blockchain
95,Blockchain Revolution
96,Blockchain Revolution Financial Services
97,Blockchain Foundations Use Cases
98,Boosting Creativity Innovation
99,Brand Management Aligning Business Brand Behaviour
100,Branding Creative Journey
101,Budgeting Scheduling Projects
102,Bugs 101 InsectHuman Interactions
103,Build Modern Computer Principles Nand Tetris ProjectCentered Course
104,Building Batch Data Pipelines GCP
105,Building Conversational Experiences Dialogflow
106,Building Resilient Streaming Analytics Systems GCP
107,Building Scalable Java Microservices Spring Boot Spring Cloud
108,Building Leadership Skills
109,Business Analytics
110,Business English
111,Business English Communication Skills
112,Business English Networking
113,Business Foundations
114,Business Model Innovation
115,Business Statistics Analysis
116,Business Strategies Better World
117,Business Strategy
118,Business Technology Management
119,Business Transformation Google Cloud
120,Business Writing
121,Business Financial Modeling
122,C Everyone Programming Fundamentals
123,C Programming Unity Game Development
124,COVID19 Contact Tracing
125,COVID19 Need Know CME Eligible
126,Cameras Exposure Photography
127,Camino la Excelencia en Gestin de Proyectos
128,Capstone Retrieving Processing Visualizing Data Python
129,Career Success
130,Challenging Forensic Science Science Speak Court
131,Chemicals Health
132,Chicken Behaviour Welfare
133,Child Nutrition Cooking
134,Chinese HSK 1
135,Cisco Networking Basics
136,Classical Sociological Theory
137,Claves de la Direccin de Empresas
138,Climate Change Health Science Action
139,Clinical Terminology International US Students
140,Cloud Computing
141,Cloud Computing Basics Cloud 101
142,Cloud Engineering Google Cloud
143,Coaching Skills Managers
144,Code Yourself Introduction Programming
145,Communication Skills Engineers
146,Communication Strategies Virtual Age
147,Compassionate Leadership Service Learning Jane Goodall Roots  Shoots
148,Competencias digitales Herramientas de ofimtica Microsoft Word Excel Power Point
149,Competitive Strategy Organization Design
150,Computational Social Science
151,Computational Thinking Problem Solving
152,Computer Security Systems Management
153,Conflict Management
154,Construction Cost Estimating Cost Control
155,Construction Management
156,Construction Project Management
157,Construction Scheduling
158,Contabilidad para contadores
159,Content Strategy Professionals
160,Continuous Delivery  DevOps
161,Control Mobile Robots
162,Convolutional Neural Networks
163,Convolutional Neural Networks TensorFlow
164,Corporate  Commercial Law I Contracts  Employment Law
165,Corporate Finance Essentials
166,Corporate Strategy
167,Corporate Sustainability Understanding Seizing Strategic Opportunity
168,Correccin estilo variaciones de la lengua espaola
169,Cost Economics Pricing Strategy
170,Costos para los Negocios
171,Crash Course Python
172,Creative Problem Solving
173,Creative Writing
174,Creative Writing Craft Plot
175,Creatividad diseo e innovacin Tcnicas herramientas
176,Cuidado de heridas en el mbito hospitalario
177,Cuidados procedimientos generales en la atencin del recin nacido
178,CultureDriven Team Building
179,Curanderismo Traditional Healing Plants
180,Customer Segmentation Prospecting
181,Cybersecurity
182,Cybersecurity Domains
183,Cybersecurity Business
184,Cmo hablar bien en pblico
185,Dairy Production Management
186,Data Analysis Interpretation
187,Data Analysis Presentation Skills PwC Approach
188,Data Analysis Python
189,Data Analytics Lean Sigma
190,Data Collection Processing Python
191,Data Engineering Google Cloud Platform 
192,Data Engineering Google Cloud
193,Data Engineering Big Data Machine Learning GCP
194,Data Management Clinical Research
195,Data Mining
196,Data Science
197,Data Science Math Skills
198,Data Science Methodology
199,Data Science Foundations R
200,Data Science Statistics Machine Learning
201,Data Visualization Communication Tableau
202,Data Visualization Advanced Excel
203,Data Visualization Python
204,Data Visualization Tableau
205,Data Warehousing Business Intelligence
206,Data Health Indicators Public Health Practice
207,Datadriven Decision Making
208,Databases SQL Data Science
209,DeMystifying Mindfulness
210,DecisionMaking Scenarios
211,Deep Learning
212,Democracia decisiones pblicas Introduccin al anlisis de polticas pblicas
213,Dentistry 101
214,Dermatology Trip skin
215,Design Thinking Innovation
216,Design Thinking Greater Good Innovation Social Sector
217,Design Interpretation Clinical Trials
218,Design Infographics ProjectCentered Course
219,DesignLed Strategy Design thinking business strategy entrepreneurship
220,Developing APIs Google Clouds Apigee API Platform
221,Developing Applications Google Cloud Platform
222,Developing Applications Google Cloud Platform 
223,Developing Industrial Internet Things
224,Developing Musicianship
225,Developing Musicianship
226,Devenir entrepreneur du changement
227,Digital Advertising Strategy
228,Digital Business Models
229,Digital Manufacturing  Design Technology
230,Digital Marketing
231,Digital Media Marketing Strategies
232,Digital Product Management
233,Digital Product Management Modern Fundamentals
234,Dino 101 Dinosaur Paleobiology
235,Discrete Optimization
236,Diseo Instruccional Aprendizaje activo Pedagoga digital
237,Diseo Creacin de un Emprendimiento Social
238,Divide Conquer Sorting Searching Randomized Algorithms
239,Dog Emotion Cognition
240,Driving business Sustainable Development Goals
241,Drug Commercialization
242,Drug Discovery
243,Dynamic Public Speaking
244,EMT Foundations
245,Ecology Ecosystem Dynamics Conservation
246,Econometrics Methods Applications
247,Economics Money Banking
248,Ecosystem Services Method Sustainable Development
249,Effective Compliance Programs
250,Egiptologa Egyptology
251,El Abogado del Futuro Legaltech la Transformacin Digital del Derecho
252,Elastic Google Cloud Infrastructure Scaling Automation
253,Electric Industry Operations Markets
254,Electronic Music Production
255,Emerging Technologies Smartphones IoT Big Data
256,Energy Production Distribution  Safety
257,Engineering Health Introduction Yoga Physiology
258,Engineering Project Management Initiating Planning
259,English Composition
260,English Business Entrepreneurship
261,English Career Development
262,English Journalism
263,English Research Publication Purposes
264,English Science Technology Engineering Mathematics
265,Enterprise Architecture
266,Entrepreneurial Finance Strategy Innovation
267,Entrepreneurship
268,Entrepreneurship 1 Developing Opportunity
269,Entrepreneurship 2 Launching StartUp
270,Entrepreneurship 3 Growth Strategies
271,Entrepreneurship Strategy Ideation Exit
272,Entrepreneurship Launching Innovative Business
273,Epidemics  Dynamics Infectious Diseases
274,Epidemics Pandemics Outbreaks
275,Epidemiology Public Health
276,Epidemiology Public Health Practice
277,Epidemiology Basic Science Public Health
278,Epigenetic Control Gene Expression
279,Equine Welfare Management
280,Esports
281,Essential Epidemiologic Tools Public Health Practice
282,Essential Google Cloud Infrastructure Core Services
283,Essential Google Cloud Infrastructure Foundation
284,Essentials Clinical Simulations Health Professions
285,Essentials Corporate Finance
286,Essentials Global Health
287,Estadstica probabilidad
288,Evaluacin educativa
289,Everyday Excel 1
290,Everyday Parenting ABCs Child Rearing
